"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ENSG00000167851",185.85386616109,-0.839816014775969,0.225913618627681,-3.71742093229021,0.000201266947661608,0.00417344961900572
"ENSG00000167874",20.6155238566607,1.10504055758777,0.352323711780485,3.13643538779548,0.00171015114498893,0.0236229568258611
"ENSG00000167910",4.5855704124368,-5.86990649356411,0.945883028340194,-6.20574248368156,5.44392596646969e-10,3.88662465761584e-08
"ENSG00000167912",23.9925447420756,1.17771971612471,0.370639113917427,3.17753758818636,0.00148531435228176,0.021212567814438
"ENSG00000167916",57.1247825921,5.20047203369378,0.965403584567765,5.38683729460375,7.17082930912796e-08,3.62593970827428e-06
"ENSG00000167992",27.3738754461667,-1.63475378851065,0.491827050923965,-3.3238387059832,0.000887875316845355,0.0140957230116517
"ENSG00000168032",34.026027420743,2.07148404307964,0.55587428571083,3.72653331216915,0.000194131425287671,0.00405908483920912
"ENSG00000168077",159.876762039737,1.46349971322749,0.344385750746412,4.24959427053975,2.1415806666195e-05,0.00060283636374566
"ENSG00000168079",709.605674100008,2.88170682226743,0.581963197898199,4.95169940758267,7.3568181456974e-07,3.04870969111472e-05
"ENSG00000168234",165.532986349594,-1.67278174621796,0.300724717083982,-5.56250168738478,2.65934459373259e-08,1.4426420927969e-06
"ENSG00000168237",759.50346901225,-1.51062223571501,0.307050442918482,-4.91978523579614,8.66392243696549e-07,3.54770244454524e-05
"ENSG00000168280",119.978990614059,1.38308912119597,0.43096468137253,3.20928647050874,0.00133064842061602,0.0195364992942655
"ENSG00000168306",475.646886489545,-1.41007856739472,0.30441353109359,-4.63211527532658,3.61948514907003e-06,0.000127226749665908
"ENSG00000168309",133.393382908282,1.4368411703384,0.430138389238656,3.34041602955181,0.000836529733633784,0.0134498753789264
"ENSG00000168356",15.53740264424,1.53034261343802,0.479989537627789,3.188283271759,0.00143120253479089,0.0206268071539369
"ENSG00000168386",846.301079101864,1.30473276414332,0.317326281102193,4.11164420296829,3.92851384398025e-05,0.00101368899356187
"ENSG00000168389",312.093725329447,-1.10564660939416,0.358245003618137,-3.0862861958368,0.00202673643474257,0.0271525535579172
"ENSG00000168398",576.283909211386,0.95890852719609,0.254674125200419,3.76523734573139,0.00016639095143102,0.0035359342556459
"ENSG00000168412",17.2936990305295,2.09548274692092,0.570171994638964,3.67517655483551,0.000237684988997317,0.00480919451306025
"ENSG00000168447",960.743837674037,2.36879876134851,0.613350895094373,3.86206130991957,0.000112434339917608,0.00252935962404035
"ENSG00000168509",100.289956309394,-8.44151335518747,1.22384978988051,-6.89750770477451,5.29227738970006e-12,5.24620792465303e-10
"ENSG00000168539",19.5345442715231,1.87038312529304,0.58547693951089,3.19463158848847,0.00140009441778357,0.0202752506386125
"ENSG00000168621",33.8095546084066,2.35801263964022,0.49485085583213,4.76509762860778,1.88762229972126e-06,7.14548012853275e-05
"ENSG00000168734",631.309213082643,0.854007700732188,0.230500328162739,3.70501728799812,0.000211376315350631,0.0043568500362249
"ENSG00000168824",73.405410972387,2.50297595043705,0.388175446942007,6.44805324539496,1.13295965374216e-10,9.04988467763085e-09
"ENSG00000168903",1117.26970934099,1.85665028881516,0.545257579102677,3.40508845722167,0.000661426250201901,0.011137647471524
"ENSG00000168904",196.089700262896,-0.446829726047571,0.148425233935262,-3.01047008113502,0.00260843644569065,0.0330497892277438
"ENSG00000168938",634.646499070841,0.706165413765287,0.197643595053446,3.57292333998645,0.00035301813126418,0.0066770581066426
"ENSG00000168994",409.979094833564,-1.96694714144402,0.366316684628998,-5.36952648890705,7.89436415952984e-08,3.96271197647219e-06
